Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Protein export Homo sapiens hsa03060,0.4894353289636012,1.3862976863609437,0.12413793103448276,1.0,23,23,SEC11A;OXA1L;SPCS1;SEC61A1;SRPRB;SEC61G;SEC62;SEC63;SPCS2;SRP72;SEC11C;IMMP2L;SRPR;HSPA5;SEC61B;SRP68;SRP9;SPCS3;SRP19;SRP54;IMMP1L;SRP14;SEC61A2,SEC11A;OXA1L;SPCS1;SEC61A1;SRPRB;SEC61G;SEC62;SEC63;SPCS2
Linoleic acid metabolism Homo sapiens hsa00591,-0.3919371170899646,-1.2647630130953254,0.1366906474820144,1.0,29,29,PLA2G4A;CYP2C9;PLA2G4E;PLA2G1B;PLB1;PLA2G4F;PLA2G12A;CYP2E1;PLA2G4D;PLA2G2A;PLA2G12B;CYP2C19;PLA2G2E;CYP1A2;CYP2J2;PLA2G4C;PLA2G2F;PLA2G6;PLA2G2C;PLA2G3;PLA2G2D;PLA2G16;ALOX15;PLA2G4B;CYP3A4;PLA2G10;PLA2G5;CYP2C8;JMJD7-PLA2G4B,PLA2G6;PLA2G2C;PLA2G3;PLA2G2D;PLA2G16;ALOX15;PLA2G4B;CYP3A4;PLA2G10;PLA2G5;CYP2C8;JMJD7-PLA2G4B
Mismatch repair Homo sapiens hsa03430,-0.5818195693401932,-1.4617325267402934,0.13846153846153847,1.0,23,23,MSH3;SSBP1;POLD4;POLD2;MLH1;RPA1;RFC2;RPA4;RFC1;MSH2;RFC3;PMS2;RFC4;RPA2;PCNA;RPA3;EXO1;RFC5;POLD1;POLD3;MSH6;MLH3;LIG1,RFC1;MSH2;RFC3;PMS2;RFC4;RPA2;PCNA;RPA3;EXO1;RFC5;POLD1;POLD3;MSH6;MLH3;LIG1
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.3381927093043791,1.2402915277773858,0.1597222222222222,1.0,67,65,GAPDH;LDHB;ADH1C;ALDH9A1;TPI1;ALDH1B1;ALDH3B2;G6PC2;ADH1B;PKM;PDHB;LDHAL6B;ALDH3B1;ADH4;ENO1;ALDH2;ADH7;PFKM;HK2;BPGM;G6PC;PGAM1;PCK2;ALDOA;ALDOC;PGAM4;ALDOB;DLAT;AKR1A1;ADH5;ENO2;PDHA1;PFKP;PGM2;HK3;MINPP1;HK1;ALDH3A2;LDHA;DLD;G6PC3;ADH1A;LDHC;FBP2;PGM1;PGK1;ADPGK;GAPDHS;GPI;LDHAL6A;GALM;PGK2;HKDC1;FBP1;PCK1;PFKL;GCK;ACSS1;ALDH3A1;ENO3;ALDH7A1;ADH6;ACSS2;ALDH1A3;PKLR,GAPDH;LDHB;ADH1C;ALDH9A1;TPI1;ALDH1B1;ALDH3B2;G6PC2;ADH1B;PKM;PDHB;LDHAL6B;ALDH3B1;ADH4;ENO1;ALDH2;ADH7;PFKM;HK2;BPGM;G6PC
alpha-Linolenic acid metabolism Homo sapiens hsa00592,-0.3742831169246417,-1.2552537815418252,0.16546762589928057,1.0,25,25,PLA2G4A;PLA2G4E;PLA2G1B;PLB1;ACAA1;PLA2G4F;PLA2G12A;FADS2;PLA2G4D;PLA2G2A;PLA2G12B;ACOX1;PLA2G2E;PLA2G4C;PLA2G2F;PLA2G6;PLA2G2C;PLA2G3;PLA2G2D;PLA2G16;ACOX3;PLA2G4B;PLA2G10;PLA2G5;JMJD7-PLA2G4B,PLA2G6;PLA2G2C;PLA2G3;PLA2G2D;PLA2G16;ACOX3;PLA2G4B;PLA2G10;PLA2G5;JMJD7-PLA2G4B
Glycerophospholipid metabolism Homo sapiens hsa00564,-0.2911896413964243,-1.2650346703181963,0.16666666666666666,1.0,95,95,CDS2;GPD1L;PLA2G4A;CHAT;PLA2G15;AGPAT1;PLA2G4E;PLA2G1B;PTDSS1;PPAP2A;ETNK1;AGPAT5;PLB1;AGPAT2;PLA2G4F;PLA2G12A;ETNK2;ADPRM;CHPT1;PCYT1A;PLD4;PHOSPHO1;GPAM;PEMT;LPCAT3;CRLS1;EPT1;DGKG;GNPAT;ACHE;GPD2;LPCAT2;DGKI;DGKK;LYPLA2;PLA2G4D;ETNPPL;AGPAT6;CDIPT;DGKA;LYPLA1;DGKB;PLD3;PLA2G2A;PCYT2;CHKA;PPAP2B;DGKH;PLA2G12B;LPCAT1;DGKZ;MBOAT2;PTDSS2;PLD1;DGKE;PLA2G2E;LPIN2;PLD2;LCLAT1;MBOAT7;PLA2G4C;LPIN1;CEPT1;PLA2G2F;DGKD;PNPLA6;CDS1;PLA2G6;LPCAT4;GPAT2;PLA2G2C;PLA2G3;LCAT;PPAP2C;PLA2G2D;LPGAT1;AGPAT9;MBOAT1;PLA2G16;PCYT1B;GPCPD1;PGS1;AGPAT3;LPIN3;PISD;TAZ;PLA2G4B;DGKQ;PLA2G10;PLA2G5;CHKB;PNPLA7;GPD1;AGPAT4;JMJD7-PLA2G4B,PLA2G6;LPCAT4;GPAT2;PLA2G2C;PLA2G3;LCAT;PPAP2C;PLA2G2D;LPGAT1;AGPAT9;MBOAT1;PLA2G16;PCYT1B;GPCPD1;PGS1;AGPAT3;LPIN3;PISD;TAZ;PLA2G4B;DGKQ;PLA2G10;PLA2G5;CHKB;PNPLA7;GPD1;AGPAT4;JMJD7-PLA2G4B
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.4896113917943775,1.3214651796796706,0.16778523489932887,1.0,27,22,ALDH9A1;UGT2B7;ALDH1B1;UGT2A1;UGT2B28;UGT2B10;ALDH2;UGT1A6;UGT2A3;UGT1A1;UGT1A4;UGT1A10;UGT2B11;UGT2B15;MIOX;UGT2B17;UGDH;ALDH3A2;UGT1A9;UGT2B4;ALDH7A1;RGN,ALDH9A1;UGT2B7;ALDH1B1;UGT2A1;UGT2B28;UGT2B10;ALDH2;UGT1A6;UGT2A3;UGT1A1;UGT1A4;UGT1A10;UGT2B11;UGT2B15;MIOX
Vitamin digestion and absorption Homo sapiens hsa04977,-0.4378858280872985,-1.3349236502440531,0.16923076923076924,1.0,24,24,TCN2;APOA1;PLB1;SLC19A2;BTD;AWAT2;SLC19A3;SCARB1;ABCC1;LRAT;SLC52A3;SLC19A1;SLC46A1;APOB;LMBRD1;PNLIP;APOA4;CUBN;FOLH1;SLC5A6;GIF;RBP2;MMACHC;SLC23A1,CUBN;FOLH1;SLC5A6;GIF;RBP2;MMACHC;SLC23A1
Cell cycle Homo sapiens hsa04110,-0.4435419907676081,-1.3661492186848019,0.18110236220472442,1.0,124,124,ANAPC13;RBX1;SMAD3;CCND3;BUB3;MDM2;RAD21;CCND1;SFN;YWHAE;MYC;HDAC2;CDKN1B;TFDP1;RB1;CCNB3;MAD2L2;STAG2;E2F5;TGFB1;CDKN2A;SKP1;SMAD2;GSK3B;ANAPC11;PTTG2;YWHAQ;SMC3;YWHAZ;STAG1;E2F3;CUL1;MAD1L1;ORC3;CCND2;ORC5;CDKN2B;YWHAH;EP300;CDKN2D;CDC26;PRKDC;CDKN1A;CDC27;CDC16;YWHAG;YWHAB;MCM5;CDC23;SMAD4;CCNH;CDK6;ORC4;CDC25A;SMC1A;CHEK2;DBF4;MCM7;TGFB2;CREBBP;CCNA1;MCM4;GADD45A;CDK7;GADD45B;MCM6;CHEK1;CDK4;ANAPC10;WEE1;RBL1;ANAPC1;TP53;TFDP2;PCNA;CCNE1;MCM3;PTTG1;HDAC1;CDKN1C;TTK;WEE2;E2F2;CCNB2;CDC6;CDK1;TGFB3;ABL1;CDC25B;BUB1B;ANAPC7;ATR;MCM2;CDC7;ANAPC5;ORC1;ATM;RBL2;E2F1;CDK2;CDC14A;GADD45G;BUB1;CCNB1;PKMYT1;CCNE2;CDC45;ESPL1;ZBTB17;E2F4;PLK1;CDC25C;FZR1;ANAPC2;ANAPC4;SMC1B;CDC20;CDKN2C;MAD2L1;CCNA2;ORC6;SKP2;ORC2;CDC14B,CCNE1;MCM3;PTTG1;HDAC1;CDKN1C;TTK;WEE2;E2F2;CCNB2;CDC6;CDK1;TGFB3;ABL1;CDC25B;BUB1B;ANAPC7;ATR;MCM2;CDC7;ANAPC5;ORC1;ATM;RBL2;E2F1;CDK2;CDC14A;GADD45G;BUB1;CCNB1;PKMYT1;CCNE2;CDC45;ESPL1;ZBTB17;E2F4;PLK1;CDC25C;FZR1;ANAPC2;ANAPC4;SMC1B;CDC20;CDKN2C;MAD2L1;CCNA2;ORC6;SKP2;ORC2;CDC14B
Regulation of autophagy Homo sapiens hsa04140,-0.36948853013440613,-1.2758976799677326,0.18461538461538463,1.0,39,35,GABARAP;ATG13;ATG7;IFNG;GABARAPL2;ATG3;ATG5;IFNA8;GABARAPL1;ATG4A;ATG10;PIK3R4;IFNA17;ATG12;IFNA1;INS;IFNA6;BECN1;PRKAA2;IFNA14;IFNA21;IFNA13;IFNA5;PIK3C3;ATG16L1;ATG4D;ATG4C;ULK1;ATG4B;ATG16L2;ATG14;PRKAA1;IFNA2;ULK3;ULK2,IFNA13;IFNA5;PIK3C3;ATG16L1;ATG4D;ATG4C;ULK1;ATG4B;ATG16L2;ATG14;PRKAA1;IFNA2;ULK3;ULK2
Histidine metabolism Homo sapiens hsa00340,-0.4476035382159023,-1.2584274629731973,0.1897810218978102,1.0,24,23,ALDH9A1;ALDH1B1;ALDH3B2;ALDH3B1;ALDH2;HNMT;DDC;MAOA;ALDH3A2;AMDHD1;CNDP2;MAOB;AOC1;ALDH3A1;ASPA;CNDP1;ALDH7A1;HAL;CARNS1;HDC;UROC1;FTCD;ALDH1A3,ALDH3A1;ASPA;CNDP1;ALDH7A1;HAL;CARNS1;HDC;UROC1;FTCD;ALDH1A3
Base excision repair Homo sapiens hsa03410,-0.48989319783612617,-1.383276463491544,0.19148936170212766,1.0,33,33,APEX1;POLE4;NEIL2;POLD4;POLE3;POLD2;MPG;POLB;PARP4;NTHL1;OGG1;APEX2;HMGB1;POLL;FEN1;LIG3;PARP1;PARP3;XRCC1;SMUG1;MBD4;PCNA;POLE2;TDG;POLD1;POLD3;PARP2;UNG;POLE;NEIL3;LIG1;MUTYH;NEIL1,LIG3;PARP1;PARP3;XRCC1;SMUG1;MBD4;PCNA;POLE2;TDG;POLD1;POLD3;PARP2;UNG;POLE;NEIL3;LIG1;MUTYH;NEIL1
mRNA surveillance pathway Homo sapiens hsa03015,-0.3665611386878339,-1.3213643758386275,0.19402985074626866,1.0,91,90,PABPC1;PPP1CB;WDR82;GSPT1;CLP1;PPP1CA;CASC3;PPP2R3A;PABPC5;PPP2R5A;SAP18;SSU72;ETF1;PABPC4;PPP2R3C;CPSF2;GSPT2;RNGTT;CPSF3;PELO;UPF2;PPP2R5C;PPP2R2D;NXT1;EIF4A3;CSTF2T;PPP2R1A;PPP2CA;CSTF1;PPP2R5D;WIBG;NCBP2;PPP2CB;MAGOHB;PABPC1L2A;PPP1CC;NXT2;SMG7;CPSF6;CSTF3;WDR33;NXF2B;PABPC1L2B;PPP2R2C;SMG6;CPSF1;PAPOLA;PABPC3;RBM8A;SYMPK;NUDT21;PPP2R5E;PPP2R3B;MSI1;PPP2R2B;NXF3;RNMT;FIP1L1;PAPOLG;PPP2R5B;PABPC4L;RNPS1;NCBP1;ALYREF;CPSF4;PAPOLB;PPP2R1B;CSTF2;MSI2;PABPC1L;PABPN1;PCF11;PABPN1L;MAGOH;NXF5;ACIN1;HBS1L;UPF3A;CPSF7;UPF1;PPP2R2A;NXF1;DAZAP1;SMG1;PNN;SRRM1;UPF3B;DDX39B;BCL2L2-PABPN1;SMG5,RBM8A;SYMPK;NUDT21;PPP2R5E;PPP2R3B;MSI1;PPP2R2B;NXF3;RNMT;FIP1L1;PAPOLG;PPP2R5B;PABPC4L;RNPS1;NCBP1;ALYREF;CPSF4;PAPOLB;PPP2R1B;CSTF2;MSI2;PABPC1L;PABPN1;PCF11;PABPN1L;MAGOH;NXF5;ACIN1;HBS1L;UPF3A;CPSF7;UPF1;PPP2R2A;NXF1;DAZAP1;SMG1;PNN;SRRM1;UPF3B;DDX39B;BCL2L2-PABPN1;SMG5
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.4860317392062475,1.2689905659288654,0.2028985507246377,1.0,20,20,CHST15;CHST3;XYLT1;CHSY1;CHPF;CSGALNACT1;CHST11;UST;CHST13;CHST7;DSE;CHPF2;B3GALT6;CHSY3;B4GALT7;B3GAT3;CHST12;CSGALNACT2;CHST14;XYLT2,CHST15;CHST3;XYLT1;CHSY1;CHPF;CSGALNACT1;CHST11;UST;CHST13;CHST7;DSE
